DIST,Annual,Kharif,Rabi,Summer,Autumn
Adilabad,1175.9684684684685,847.6504504504505,87.07117117117117,220.76936936936937,81.67567567567568
Agra,688.2333333333332,556.245945945946,33.0936936936937,76.15585585585586,28.13243243243243
Ahmadabad,681.4000000000001,557.527927927928,22.187387387387385,99.74054054054055,21.163063063063063
Ahmadnagar,626.1567567567567,377.08648648648654,99.16936936936939,144.85405405405405,92.372972972973
Aizawl,2651.244144144144,1242.807207207207,219.9315315315315,1134.7720720720722,210.19729729729727
Ajmer,518.7324324324326,426.6846846846847,17.097297297297295,65.54414414414414,14.044144144144143
Akola,825.1594594594594,564.0738738738738,73.59279279279279,168.85675675675674,65.33153153153154
Aligarh,724.9306306306306,566.5918918918919,35.93333333333334,91.27027027027027,29.836936936936937
Allahabad,926.9630630630631,738.7171171171173,46.63963963963964,109.91081081081083,41.71711711711711
Alleppey,2972.9702702702702,1192.4135135135134,615.1945945945946,1115.1234234234234,557.4216216216217
Almora,1375.8063063063066,891.9468468468468,72.78468468468469,308.8369369369371,53.0045045045045
Alwar,606.50990990991,481.14774774774776,25.972072072072073,78.24954954954956,20.641441441441447
Ambala,1053.7495495495496,758.9261261261261,48.23873873873874,168.11891891891895,29.84234234234234
Ambedkar Nagar,1096.2441441441442,834.9999999999999,57.788288288288285,175.9828828828829,52.462162162162166
Amravati,961.1657657657659,678.418018018018,78.43783783783785,182.25765765765763,69.51441441441442
Amreli,624.6153153153153,462.72882882882885,34.67117117117117,125.08558558558562,33.55135135135134
Amritsar,655.6180180180181,447.7459459459459,36.81441441441441,111.709009009009,22.316216216216215
Anand,816.2729729729729,673.7810810810811,26.24324324324324,114.01171171171173,24.958558558558558
Anantapur,567.109009009009,275.0702702702702,156.02612612612617,128.8594594594595,146.44234234234236
Anantnag (Kashmir South),1087.4531531531532,280.55855855855856,135.20810810810812,428.06666666666666,67.82702702702704
Anugul,1416.6153153153155,904.4864864864865,134.0207207207207,339.20090090090093,129.43603603603603
Araria,1774.5144144144142,1146.108108108108,99.41801801801802,506.10540540540546,95.65855855855857
Ariyalur,1135.6657657657659,281.0765765765766,654.636936936937,139.93963963963964,486.4675675675676
Auraiya,757.3927927927929,602.4243243243243,43.05495495495495,86.15855855855857,37.87747747747748
Aurangabad,733.3117117117116,477.3531531531531,88.22612612612613,159.86936936936937,79.42432432432432
Aurangabad2,1088.753153153153,821.5837837837837,61.522522522522515,169.97747747747744,57.54504504504504
Azamgarh,1010.2540540540539,781.3369369369368,55.43333333333333,145.72882882882882,50.68558558558558
Bagalkot,578.8603603603605,289.15225225225225,134.6117117117117,150.28828828828833,127.89819819819819
Bagdam,794.6774774774774,195.50720720720724,101.26486486486486,332.92792792792807,55.19639639639641
Bageshwar,1733.4207207207212,1103.5162162162162,83.34864864864865,411.1936936936936,59.1018018018018
Baghpat,746.2513513513512,565.4576576576576,33.56936936936937,103.56306306306307,24.55135135135135
Bahraich,1147.1162162162163,832.8135135135135,63.07837837837838,212.82882882882882,56.00720720720721
Balaghat,1324.0171171171169,992.7396396396397,77.81801801801801,215.41801801801802,68.01621621621621
Balangir,1439.9216216216219,1038.7054054054056,83.58738738738738,287.7207207207207,78.71081081081081
Baleshwar,1651.8054054054053,943.3846846846848,221.60180180180183,441.390990990991,216.02702702702706
Ballia,1059.3972972972972,787.1018018018018,63.81711711711711,181.87927927927927,58.41891891891891
Balrampur,1207.699099099099,888.8486486486488,68.91891891891892,218.18378378378384,63.049549549549546
Banas Kantha,631.7414414414416,543.5396396396396,17.44054054054054,65.99459459459459,16.01081081081081
Banda,869.8792792792793,706.0261261261262,41.30810810810811,96.26756756756755,35.499099099099105
Bangalore Rural,794.8450450450449,338.45225225225226,227.5333333333333,218.1414414414414,211.84504504504503
Bangalore Urban,785.5414414414414,335.55585585585584,224.28198198198197,215.0846846846847,208.30900900900903
Banka,1171.0306306306306,768.9558558558558,97.55495495495494,276.37747747747744,94.17837837837837
Bankura,1366.4153153153154,829.4099099099099,115.78108108108108,386.35135135135135,109.91711711711712
Banswara,924.0432432432432,768.6684684684684,35.564864864864866,115.10990990990993,32.909009009009004
Barabanki,1052.2765765765764,799.8117117117116,58.71081081081083,162.19639639639638,51.77027027027028
Baramula (Kashmir North),1025.1504504504505,194.03783783783788,140.4,448.4072072072072,72.66936936936938
Baran,904.2081081081079,751.8009009009007,34.811711711711716,102.90990990990993,28.76756756756757
Barddhaman,1373.1261261261263,784.8684684684683,126.42882882882886,429.26306306306304,120.52432432432433
Bareilly,1047.1738738738738,790.1117117117117,51.80180180180181,159.99639639639642,43.70540540540541
Bargarth,1491.5711711711717,1110.445945945946,70.98378378378378,275.3990990990991,66.01171171171171
Barmer,289.1702702702703,238.7828828828829,8.239639639639641,37.61801801801802,7.425225225225225
Barpeta,2239.679279279279,972.6027027027026,143.7207207207207,1087.426126126126,136.51081081081077
Barwani,732.827027027027,540.7288288288289,52.16036036036035,133.7126126126126,47.27747747747748
Bastar (Jagdalpur),1529.812612612613,1061.1594594594594,119.76576576576576,328.6738738738739,113.290990990991
Basti,1181.3774774774774,884.2324324324325,63.93423423423424,203.8918918918919,58.12972972972973
Bathinda,398.837837837838,284.0135135135136,20.335135135135136,63.99909909909909,13.145045045045045
